track_name,artist_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Writer In The Dark,Lorde,7HdlpABlb0ZIVIYZoQhW5J,0.418,0.281,7,-8.035,1,0.0379,0.75,0.0,0.322,0.283,128.287,audio_features,7HdlpABlb0ZIVIYZoQhW5J,spotify:track:7HdlpABlb0ZIVIYZoQhW5J,https://api.spotify.com/v1/tracks/7HdlpABlb0ZIVIYZoQhW5J,https://api.spotify.com/v1/audio-analysis/7HdlpABlb0ZIVIYZoQhW5J,216611,3
Supercut,Lorde,0dyiHoYbYjYaOEXLpmzQZG,0.587,0.442,0,-10.395,1,0.0506,0.225,2.72e-05,0.0801,0.158,124.881,audio_features,0dyiHoYbYjYaOEXLpmzQZG,spotify:track:0dyiHoYbYjYaOEXLpmzQZG,https://api.spotify.com/v1/tracks/0dyiHoYbYjYaOEXLpmzQZG,https://api.spotify.com/v1/audio-analysis/0dyiHoYbYjYaOEXLpmzQZG,277506,4
Liability (Reprise),Lorde,0xcQ1ceSGmdYkzJvDggF2a,0.533,0.272,0,-12.119,1,0.0669,0.877,0.0,0.107,0.266,77.651,audio_features,0xcQ1ceSGmdYkzJvDggF2a,spotify:track:0xcQ1ceSGmdYkzJvDggF2a,https://api.spotify.com/v1/tracks/0xcQ1ceSGmdYkzJvDggF2a,https://api.spotify.com/v1/audio-analysis/0xcQ1ceSGmdYkzJvDggF2a,136020,4
Perfect Places,Lorde,1wC93sZRGcTgKLN2UWRSwW,0.621,0.574,1,-5.325,0,0.0555,0.00289,3.04e-05,0.128,0.537,104.344,audio_features,1wC93sZRGcTgKLN2UWRSwW,spotify:track:1wC93sZRGcTgKLN2UWRSwW,https://api.spotify.com/v1/tracks/1wC93sZRGcTgKLN2UWRSwW,https://api.spotify.com/v1/audio-analysis/1wC93sZRGcTgKLN2UWRSwW,221874,4
Tennis Court,Lorde,5WNF8VIyabNOd3mVKVKtfL,0.762,0.552,0,-8.632,1,0.0594,0.0144,0.000242,0.236,0.414,90.003,audio_features,5WNF8VIyabNOd3mVKVKtfL,spotify:track:5WNF8VIyabNOd3mVKVKtfL,https://api.spotify.com/v1/tracks/5WNF8VIyabNOd3mVKVKtfL,https://api.spotify.com/v1/audio-analysis/5WNF8VIyabNOd3mVKVKtfL,198907,4
400 Lux,Lorde,63gEwBbFtKIb4DQrZdODj7,0.506,0.478,2,-8.373,1,0.0386,0.0939,0.00235,0.132,0.204,184.032,audio_features,63gEwBbFtKIb4DQrZdODj7,spotify:track:63gEwBbFtKIb4DQrZdODj7,https://api.spotify.com/v1/tracks/63gEwBbFtKIb4DQrZdODj7,https://api.spotify.com/v1/audio-analysis/63gEwBbFtKIb4DQrZdODj7,234286,4
Buzzcut Season,Lorde,5BzMvAMwv8GXZrMILzR0yE,0.731,0.624,1,-10.522,1,0.0731,0.618,0.369,0.116,0.258,111.043,audio_features,5BzMvAMwv8GXZrMILzR0yE,spotify:track:5BzMvAMwv8GXZrMILzR0yE,https://api.spotify.com/v1/tracks/5BzMvAMwv8GXZrMILzR0yE,https://api.spotify.com/v1/audio-analysis/5BzMvAMwv8GXZrMILzR0yE,246755,4
Team,Lorde,5KcYtdjhsQrNNMjJOSAUEz,0.691,0.575,6,-7.431,1,0.102,0.159,0.0,0.271,0.402,99.984,audio_features,5KcYtdjhsQrNNMjJOSAUEz,spotify:track:5KcYtdjhsQrNNMjJOSAUEz,https://api.spotify.com/v1/tracks/5KcYtdjhsQrNNMjJOSAUEz,https://api.spotify.com/v1/audio-analysis/5KcYtdjhsQrNNMjJOSAUEz,193059,4
Glory And Gore,Lorde,0zzb8c6v6fIFwSoKT2ZV7A,0.69,0.383,1,-8.78,1,0.0395,0.265,0.0,0.272,0.27,143.959,audio_features,0zzb8c6v6fIFwSoKT2ZV7A,spotify:track:0zzb8c6v6fIFwSoKT2ZV7A,https://api.spotify.com/v1/tracks/0zzb8c6v6fIFwSoKT2ZV7A,https://api.spotify.com/v1/audio-analysis/0zzb8c6v6fIFwSoKT2ZV7A,210738,4
Still Sane,Lorde,40I4QHN3ysd78bmNSft6Zd,0.284,0.36,0,-12.129,1,0.0578,0.671,0.00452,0.0773,0.0994,175.785,audio_features,40I4QHN3ysd78bmNSft6Zd,spotify:track:40I4QHN3ysd78bmNSft6Zd,https://api.spotify.com/v1/tracks/40I4QHN3ysd78bmNSft6Zd,https://api.spotify.com/v1/audio-analysis/40I4QHN3ysd78bmNSft6Zd,188133,4
White Teeth Teens,Lorde,0k7CFiyDeLO0Kt8x93ovYA,0.649,0.313,6,-9.097,0,0.035,0.661,4.68e-05,0.139,0.0953,114.052,audio_features,0k7CFiyDeLO0Kt8x93ovYA,spotify:track:0k7CFiyDeLO0Kt8x93ovYA,https://api.spotify.com/v1/tracks/0k7CFiyDeLO0Kt8x93ovYA,https://api.spotify.com/v1/audio-analysis/0k7CFiyDeLO0Kt8x93ovYA,216600,4
Dog Eat Dog - Remastered,Adam & The Ants,2ioCgtEisiIsalMC0klyJq,0.624,0.854,0,-4.833,1,0.0421,0.013,0.000616,0.331,0.751,103.892,audio_features,2ioCgtEisiIsalMC0klyJq,spotify:track:2ioCgtEisiIsalMC0klyJq,https://api.spotify.com/v1/tracks/2ioCgtEisiIsalMC0klyJq,https://api.spotify.com/v1/audio-analysis/2ioCgtEisiIsalMC0klyJq,190187,4
Antmusic - Remastered,Adam & The Ants,2Hxu5SgaAVb65ovr2hCIkP,0.695,0.806,2,-4.119,1,0.142,0.101,0.00012,0.37,0.635,81.151,audio_features,2Hxu5SgaAVb65ovr2hCIkP,spotify:track:2Hxu5SgaAVb65ovr2hCIkP,https://api.spotify.com/v1/tracks/2Hxu5SgaAVb65ovr2hCIkP,https://api.spotify.com/v1/audio-analysis/2Hxu5SgaAVb65ovr2hCIkP,216960,4
Feed Me to the Lions - Remastered,Adam & The Ants,2WFjp0DUdtMJYiCi29p24f,0.574,0.931,0,-3.96,0,0.0411,0.0509,1.96e-05,0.306,0.527,127.985,audio_features,2WFjp0DUdtMJYiCi29p24f,spotify:track:2WFjp0DUdtMJYiCi29p24f,https://api.spotify.com/v1/tracks/2WFjp0DUdtMJYiCi29p24f,https://api.spotify.com/v1/audio-analysis/2WFjp0DUdtMJYiCi29p24f,181267,4
Los Rancheros - Remastered,Adam & The Ants,5wYBWR1m1OwYN0f2dUBs8C,0.648,0.747,0,-5.794,0,0.0308,0.0527,0.000596,0.205,0.958,94.469,audio_features,5wYBWR1m1OwYN0f2dUBs8C,spotify:track:5wYBWR1m1OwYN0f2dUBs8C,https://api.spotify.com/v1/tracks/5wYBWR1m1OwYN0f2dUBs8C,https://api.spotify.com/v1/audio-analysis/5wYBWR1m1OwYN0f2dUBs8C,209773,4
Ants Invasion - Remastered,Adam & The Ants,1sqiI3fj8GHB2ortfxpJ12,0.525,0.811,9,-6.607,1,0.0406,0.00236,1.1e-05,0.417,0.594,120.681,audio_features,1sqiI3fj8GHB2ortfxpJ12,spotify:track:1sqiI3fj8GHB2ortfxpJ12,https://api.spotify.com/v1/tracks/1sqiI3fj8GHB2ortfxpJ12,https://api.spotify.com/v1/audio-analysis/1sqiI3fj8GHB2ortfxpJ12,200320,4
Killer in the Home - Remastered,Adam & The Ants,2bgMZzdcBH885dauEYBP1O,0.637,0.725,9,-7.819,1,0.093,0.0286,0.000674,0.262,0.473,102.083,audio_features,2bgMZzdcBH885dauEYBP1O,spotify:track:2bgMZzdcBH885dauEYBP1O,https://api.spotify.com/v1/tracks/2bgMZzdcBH885dauEYBP1O,https://api.spotify.com/v1/audio-analysis/2bgMZzdcBH885dauEYBP1O,261333,4
Kings of the Wild Frontier - Remastered,Adam & The Ants,4MwOjoiUSWzGJNFEw8AZKZ,0.51,0.825,10,-6.865,0,0.122,0.00272,0.143,0.203,0.756,167.626,audio_features,4MwOjoiUSWzGJNFEw8AZKZ,spotify:track:4MwOjoiUSWzGJNFEw8AZKZ,https://api.spotify.com/v1/tracks/4MwOjoiUSWzGJNFEw8AZKZ,https://api.spotify.com/v1/audio-analysis/4MwOjoiUSWzGJNFEw8AZKZ,235213,4
